year,fit_peak_value,num_authors,out_degree,alpha,pa_weight,fit_weight,num_authors_weight,author_reputation_weight
1,200,100,249,0.5,0.3125,0.0,0.4375,0.25
2,200,100,249,0.5,0.3125,0.0,0.4375,0.25
3,200,100,249,0.5,0.3125,0.0,0.4375,0.25
4,200,100,249,0.5,0.3125,0.0,0.4375,0.25
5,200,100,249,0.5,0.3125,0.0,0.4375,0.25










