year,fit_peak_value,num_authors,out_degree,alpha,pa_weight,fit_weight,num_authors_weight,author_reputation_weight
1,200,100,249,0.5,0.3846,0.3077,0.0,0.3077
2,200,100,249,0.5,0.3846,0.3077,0.0,0.3077
3,200,100,249,0.5,0.3846,0.3077,0.0,0.3077
4,200,100,249,0.5,0.3846,0.3077,0.0,0.3077
5,200,100,249,0.5,0.3846,0.3077,0.0,0.3077









